,text,author_id,conversation_id,created_at,in_reply_to_user_id,id
117,@WanjikuReports No. 12,707565577125171201,1473929269319553026,2021-12-23T15:34:35.000Z,1242834186173665280,1474040749465427969
118,@WanjikuReports @SafaricomPLC  @Safaricom_Care  nataka kazi,3292771873,1473929269319553026,2021-12-23T15:34:19.000Z,1242834186173665280,1474040683602366475
119,@njoro_githiri @WanjikuReports @KenGenKenya Course Gani bro,1322815469838127104,1473929269319553026,2021-12-23T15:34:14.000Z,72002466,1474040661238292485
120,@WanjikuReports @KEMRI_Kenya,1397095293179596804,1473929269319553026,2021-12-23T15:33:16.000Z,1242834186173665280,1474040417431605252
121,"@WanjikuReports UN, google or Microsoft",1454100746253778948,1473929269319553026,2021-12-23T15:33:02.000Z,1242834186173665280,1474040357713231872
122,@anti_saiyan @WanjikuReports Kwani ume fanya. Industrial chem,1322815469838127104,1473929269319553026,2021-12-23T15:33:01.000Z,1234019826,1474040353774870542
123,@WanjikuReports KRA,2230612400,1473929269319553026,2021-12-23T15:32:59.000Z,1242834186173665280,1474040343993765893
124,@WanjikuReports Google,2565066813,1473929269319553026,2021-12-23T15:31:52.000Z,1242834186173665280,1474040064472662016
125,@OgendoOyugi @WanjikuReports People are making serious money out here while a teacher takes home 30k ndiyo afanye nayo nini hii Nairobi?,1476521467,1473929269319553026,2021-12-23T15:31:38.000Z,1412271206,1474040007895703568
126,@WanjikuReports @Safaricom_Care has been my dream company,735771336132288512,1473929269319553026,2021-12-23T15:31:11.000Z,1242834186173665280,1474039894012043264
127,@WanjikuReports @EABL_PLC,252440720,1473929269319553026,2021-12-23T15:30:05.000Z,1242834186173665280,1474039617590632449
128,@WanjikuReports KPA,903901285023395840,1473929269319553026,2021-12-23T15:30:01.000Z,1242834186173665280,1474039598259052546
129,@WanjikuReports Why??start ups?,1448980582252298247,1473929269319553026,2021-12-23T15:29:32.000Z,1242834186173665280,1474039479266648072
130,@WanjikuReports @KCBGroup @Unilever and @CocaColaAfrica,527462570,1473929269319553026,2021-12-23T15:29:23.000Z,1242834186173665280,1474039440674856969
131,@MwDerek @WanjikuReports You have a good point there,1412271206,1473929269319553026,2021-12-23T15:29:22.000Z,1476521467,1474039436962897925
132,@WanjikuReports 5,920628449294897152,1473929269319553026,2021-12-23T15:28:43.000Z,1242834186173665280,1474039273074667523
133,@WanjikuReports @KenGenKenya or @KenyaPower,820633387312566272,1473929269319553026,2021-12-23T15:28:05.000Z,1242834186173665280,1474039111795318793
134,@WanjikuReports @KenGenKenya,764387068390891520,1473929269319553026,2021-12-23T15:27:04.000Z,1242834186173665280,1474038856966156295
135,@WanjikuReports I would love the opportunity to work with the @UN,4536296542,1473929269319553026,2021-12-23T15:26:56.000Z,1242834186173665280,1474038823319441408
